Annual Income (k$),Spending Score (1-100),cluster,CustomerID
15,39,0,1
15,81,1,2
16,6,0,3
16,77,1,4
17,40,0,5
17,76,1,6
18,6,0,7
18,94,1,8
19,3,0,9
19,72,1,10
19,14,0,11
19,99,1,12
20,15,0,13
20,77,1,14
20,13,0,15
20,79,1,16
21,35,0,17
21,66,1,18
23,29,0,19
23,98,1,20
24,35,0,21
24,73,1,22
25,5,0,23
25,73,1,24
28,14,0,25
28,82,1,26
28,32,0,27
28,61,1,28
29,31,0,29
29,87,1,30
30,4,0,31
30,73,1,32
33,4,0,33
33,92,1,34
33,14,0,35
33,81,1,36
34,17,0,37
34,73,1,38
37,26,0,39
37,75,1,40
38,35,0,41
38,92,1,42
39,36,0,43
39,61,1,44
39,28,0,45
39,65,1,46
40,55,1,47
40,47,1,48
40,42,1,49
40,42,1,50
42,52,1,51
42,60,1,52
43,54,1,53
43,60,1,54
43,45,1,55
43,41,1,56
44,50,1,57
44,46,1,58
46,51,1,59
46,46,1,60
46,56,1,61
46,55,1,62
47,52,1,63
47,59,1,64
48,51,1,65
48,59,1,66
48,50,1,67
48,48,1,68
48,59,1,69
48,47,1,70
49,55,1,71
49,42,1,72
50,49,1,73
50,56,1,74
54,47,1,75
54,54,1,76
54,53,1,77
54,48,1,78
54,52,1,79
54,42,1,80
54,51,1,81
54,55,1,82
54,41,1,83
54,44,1,84
54,57,1,85
54,46,1,86
57,58,1,87
57,55,1,88
58,60,1,89
58,46,1,90
59,55,1,91
59,41,1,92
60,49,1,93
60,40,1,94
60,42,1,95
60,52,1,96
60,47,1,97
60,50,1,98
61,42,1,99
61,49,1,100
62,41,1,101
62,48,1,102
62,59,1,103
62,55,1,104
62,56,1,105
62,42,1,106
63,50,1,107
63,46,1,108
63,43,1,109
63,48,1,110
63,52,1,111
63,54,1,112
64,42,1,113
64,46,1,114
65,48,1,115
65,50,1,116
65,43,1,117
65,59,1,118
67,43,1,119
67,57,1,120
67,56,1,121
67,40,1,122
69,58,1,123
69,91,3,124
70,29,4,125
70,77,3,126
71,35,4,127
71,95,3,128
71,11,4,129
71,75,3,130
71,9,4,131
71,75,3,132
72,34,4,133
72,71,3,134
73,5,4,135
73,88,3,136
73,7,4,137
73,73,3,138
74,10,4,139
74,72,3,140
75,5,4,141
75,93,3,142
76,40,4,143
76,87,3,144
77,12,4,145
77,97,3,146
77,36,4,147
77,74,3,148
78,22,4,149
78,90,3,150
78,17,4,151
78,88,3,152
78,20,4,153
78,76,3,154
78,16,4,155
78,89,3,156
78,1,4,157
78,78,3,158
78,1,4,159
78,73,3,160
79,35,4,161
79,83,3,162
81,5,4,163
81,93,3,164
85,26,4,165
85,75,3,166
86,20,4,167
86,95,3,168
87,27,4,169
87,63,3,170
87,13,4,171
87,75,3,172
87,10,4,173
87,92,3,174
88,13,4,175
88,86,3,176
88,15,4,177
88,69,3,178
93,14,4,179
93,90,3,180
97,32,2,181
97,86,3,182
98,15,2,183
98,88,3,184
99,39,2,185
99,97,3,186
101,24,2,187
101,68,3,188
103,17,2,189
103,85,3,190
103,23,2,191
103,69,3,192
113,8,2,193
113,91,3,194
120,16,2,195
120,79,3,196
126,28,2,197
126,74,3,198
137,18,2,199
137,83,3,200
